trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.99}",20,0,-15.089041253471871,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.9801}",20,0,-159.7522791284862,"{0: 11, 1: 1, 2: 4, 3: 2, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.970299}",25,0,-114.68885655634537,"{0: 14, 1: 3, 2: 5, 3: 3, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.96059601}",20,0,-105.66415292528738,"{0: 12, 1: 5, 2: 1, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.9509900498999999}",20,0,-77.3926834619956,"{0: 11, 1: 6, 2: 2, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.941480149401}",20,0,-112.81160256379196,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.9320653479069899}",25,12,-69.47998271491244,"{0: 8, 1: 2, 2: 1, 3: 1, 4: 1}",1
8,False,"{'a': 0.5, 'e': 0.9227446944279201}",25,0,-176.9404953159497,"{0: 17, 1: 1, 2: 3, 3: 0, 4: 4}",0
9,False,"{'a': 0.5, 'e': 0.9135172474836408}",25,0,-81.54316608128264,"{0: 16, 1: 2, 2: 5, 3: 2, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.9043820750088044}",30,0,-191.40024833328204,"{0: 16, 1: 5, 2: 6, 3: 0, 4: 3}",0
11,False,"{'a': 0.5, 'e': 0.8953382542587164}",20,0,-62.956752608969985,"{0: 14, 1: 0, 2: 4, 3: 2, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.8863848717161292}",20,0,-48.67602038261,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.8775210229989678}",30,0,-103.4667860393387,"{0: 21, 1: 1, 2: 6, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.8687458127689782}",20,7,-31.16227024553306,"{0: 8, 1: 2, 2: 3, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.8600583546412884}",25,0,-137.40075072275974,"{0: 11, 1: 2, 2: 10, 3: 2, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.8514577710948755}",30,0,-50.310664342719654,"{0: 23, 1: 1, 2: 5, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.8429431933839268}",20,0,-31.59881382615262,"{0: 14, 1: 4, 2: 1, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.8345137614500875}",25,0,-59.54411888854042,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.8261686238355866}",25,0,-23.504318119292346,"{0: 21, 1: 1, 2: 2, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.8179069375972308}",20,0,-191.9999898235155,"{0: 12, 1: 1, 2: 2, 3: 1, 4: 4}",1
21,False,"{'a': 0.5, 'e': 0.8097278682212584}",35,0,-163.33951530614956,"{0: 23, 1: 1, 2: 7, 3: 2, 4: 2}",0
22,False,"{'a': 0.5, 'e': 0.8016305895390459}",35,0,-213.07858386499046,"{0: 23, 1: 1, 2: 6, 3: 1, 4: 4}",0
23,False,"{'a': 0.5, 'e': 0.7936142836436554}",20,10,-11.801951897664228,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 0}",1
24,False,"{'a': 0.5, 'e': 0.7856781408072188}",20,0,-123.65606067509957,"{0: 11, 1: 0, 2: 7, 3: 1, 4: 1}",0
25,False,"{'a': 0.5, 'e': 0.7778213593991467}",25,7,-20.899042611003303,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 0}",1
26,False,"{'a': 0.5, 'e': 0.7700431458051551}",25,0,-90.7400418045587,"{0: 13, 1: 4, 2: 7, 3: 1, 4: 0}",0
27,False,"{'a': 0.5, 'e': 0.7623427143471035}",20,0,-98.05489203443643,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
28,False,"{'a': 0.5, 'e': 0.7547192872036325}",20,0,-121.14458921101553,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
29,False,"{'a': 0.5, 'e': 0.7471720943315961}",25,13,-22.168955960730965,"{0: 7, 1: 3, 2: 2, 3: 0, 4: 0}",1
30,False,"{'a': 0.5, 'e': 0.7397003733882802}",20,0,-96.4044419046313,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
31,False,"{'a': 0.5, 'e': 0.7323033696543975}",25,0,-242.76598898548474,"{0: 14, 1: 3, 2: 1, 3: 2, 4: 5}",0
32,False,"{'a': 0.5, 'e': 0.7249803359578535}",25,0,-7.423005947995599,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
33,False,"{'a': 0.5, 'e': 0.7177305325982749}",30,0,-37.37539686796988,"{0: 23, 1: 2, 2: 4, 3: 1, 4: 0}",0
34,False,"{'a': 0.5, 'e': 0.7105532272722921}",20,6,-25.27462834329925,"{0: 10, 1: 2, 2: 1, 3: 1, 4: 0}",1
35,False,"{'a': 0.5, 'e': 0.7034476949995692}",25,4,-55.25808896862994,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 1}",1
36,False,"{'a': 0.5, 'e': 0.6964132180495735}",25,3,-53.323678407457805,"{0: 15, 1: 4, 2: 2, 3: 0, 4: 1}",1
37,False,"{'a': 0.5, 'e': 0.6894490858690778}",25,18,12.572696429367067,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
38,False,"{'a': 0.5, 'e': 0.682554595010387}",20,0,-49.83202568612505,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
39,False,"{'a': 0.5, 'e': 0.6757290490602831}",25,0,-31.227704780258538,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",0
40,False,"{'a': 0.5, 'e': 0.6689717585696803}",20,0,-30.191516866977224,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
41,False,"{'a': 0.5, 'e': 0.6622820409839835}",25,5,-34.1806378924644,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",1
42,False,"{'a': 0.5, 'e': 0.6556592205741436}",20,0,-7.2720590103266085,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
43,False,"{'a': 0.5, 'e': 0.6491026283684022}",25,0,-91.31317508954379,"{0: 20, 1: 0, 2: 2, 3: 1, 4: 2}",0
44,False,"{'a': 0.5, 'e': 0.6426116020847181}",20,0,-41.2291373253376,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
45,False,"{'a': 0.5, 'e': 0.6361854860638709}",25,0,-78.98402350050151,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
46,False,"{'a': 0.5, 'e': 0.6298236312032323}",25,0,-65.8332842965778,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
47,False,"{'a': 0.5, 'e': 0.6235253948912}",20,0,-70.49787263940757,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
48,False,"{'a': 0.5, 'e': 0.617290140942288}",25,0,-74.33917255931284,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
49,False,"{'a': 0.5, 'e': 0.611117239532865}",30,11,-15.475518210181116,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 1}",1
50,False,"{'a': 0.5, 'e': 0.6050060671375364}",25,14,-5.932884708518307,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
51,False,"{'a': 0.5, 'e': 0.598956006466161}",20,0,-70.84809077629346,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
52,False,"{'a': 0.5, 'e': 0.5929664464014994}",20,0,-47.636119941993414,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
53,False,"{'a': 0.5, 'e': 0.5870367819374844}",20,4,-52.370527091063856,"{0: 12, 1: 1, 2: 1, 3: 1, 4: 1}",1
54,False,"{'a': 0.5, 'e': 0.5811664141181095}",20,0,-43.00396542050041,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",1
55,False,"{'a': 0.5, 'e': 0.5753547499769285}",25,16,-0.7151093770405956,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
56,False,"{'a': 0.5, 'e': 0.5696012024771592}",30,8,-94.73774171017213,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 2}",1
57,False,"{'a': 0.5, 'e': 0.5639051904523875}",30,0,-2.922568676829243,"{0: 26, 1: 1, 2: 3, 3: 0, 4: 0}",0
58,False,"{'a': 0.5, 'e': 0.5582661385478637}",25,0,-67.67253080238464,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
59,False,"{'a': 0.5, 'e': 0.5526834771623851}",30,0,-93.03982412559911,"{0: 24, 1: 1, 2: 2, 3: 1, 4: 2}",0
60,False,"{'a': 0.5, 'e': 0.5471566423907612}",25,0,-213.15987358551027,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 5}",0
61,False,"{'a': 0.5, 'e': 0.5416850759668536}",25,0,-53.30676407322815,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
62,False,"{'a': 0.5, 'e': 0.536268225207185}",25,0,-110.25684501910568,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 2}",0
63,False,"{'a': 0.5, 'e': 0.5309055429551132}",35,0,-92.45668152540506,"{0: 27, 1: 3, 2: 2, 3: 1, 4: 2}",0
64,False,"{'a': 0.5, 'e': 0.525596487525562}",20,2,-66.52952052032438,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 1}",1
65,False,"{'a': 0.5, 'e': 0.5203405226503064}",30,9,15.104143488517128,"{0: 19, 1: 1, 2: 1, 3: 0, 4: 0}",1
66,False,"{'a': 0.5, 'e': 0.5151371174238033}",20,11,4.26160526533582,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
67,False,"{'a': 0.5, 'e': 0.5099857462495653}",20,0,-69.07658484355962,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
68,False,"{'a': 0.5, 'e': 0.5048858887870696}",25,11,-60.35976130233353,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 2}",1
