trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,5,-69.87354353569357,"{0: 10, 1: 1, 2: 2, 3: 1, 4: 1}",1
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-137.9616232730128,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-74.18545122934636,"{0: 15, 1: 4, 2: 5, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,8,-127.03928075640576,"{0: 9, 1: 2, 2: 3, 3: 1, 4: 2}",1
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-91.15900434989037,"{0: 13, 1: 3, 2: 1, 3: 2, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-206.2055282209972,"{0: 13, 1: 3, 2: 5, 3: 0, 4: 4}",0
7,False,"{'a': 0.5, 'e': 1.0}",35,0,-133.08059035018235,"{0: 26, 1: 1, 2: 4, 3: 2, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-64.35024364262688,"{0: 16, 1: 4, 2: 4, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-82.05010622924763,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-70.38005835154205,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",35,0,-70.29535123156863,"{0: 24, 1: 6, 2: 3, 3: 2, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",30,0,-188.57838332171457,"{0: 14, 1: 6, 2: 7, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-208.93266828980742,"{0: 14, 1: 2, 2: 3, 3: 3, 4: 3}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-118.15591748267956,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-121.8706556260259,"{0: 12, 1: 7, 2: 4, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-130.10063814838585,"{0: 14, 1: 2, 2: 7, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-229.83787977913371,"{0: 9, 1: 2, 2: 3, 3: 2, 4: 4}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-86.77786456565714,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-191.28189541841377,"{0: 9, 1: 3, 2: 3, 3: 2, 4: 3}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-105.65725781678634,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-87.10234779753924,"{0: 15, 1: 1, 2: 8, 3: 1, 4: 0}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-86.0920793328313,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-84.67711936421898,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-91.01912314593324,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-58.64340413672452,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-153.16417790422315,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-142.58176199638248,"{0: 15, 1: 1, 2: 7, 3: 0, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-123.8623779211257,"{0: 16, 1: 4, 2: 2, 3: 1, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-65.61541919003142,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",30,0,-162.32604901615656,"{0: 15, 1: 3, 2: 9, 3: 2, 4: 1}",0
