trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9900498337491681}",30,0,-124.02250621742924,"{0: 19, 1: 5, 2: 4, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.9801986733067553}",20,0,-118.48645890090965,"{0: 11, 1: 0, 2: 7, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.9704455335485082}",30,0,-127.39430850549194,"{0: 16, 1: 5, 2: 6, 3: 3, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.9607894391523232}",20,0,-132.33963335249015,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.951229424500714}",20,16,4.992478465636026,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0.9417645335842487}",25,0,-123.80943193383244,"{0: 15, 1: 2, 2: 5, 3: 2, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.9323938199059483}",20,0,-41.98694457312851,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.9231163463866358}",25,0,-166.6061182348878,"{0: 15, 1: 1, 2: 6, 3: 0, 4: 3}",0
9,False,"{'a': 0.5, 'e': 0.9139311852712282}",20,0,-175.20012108371927,"{0: 13, 1: 1, 2: 1, 3: 1, 4: 4}",0
10,False,"{'a': 0.5, 'e': 0.9048374180359595}",30,0,-21.258895710545964,"{0: 24, 1: 1, 2: 5, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.8958341352965282}",20,0,-110.70660258411046,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.8869204367171575}",25,0,-143.24912265732203,"{0: 16, 1: 2, 2: 3, 3: 2, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.8780954309205613}",20,0,-37.37521234986022,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.8693582353988059}",20,0,-109.97297589866784,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
