trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.7, 'e': 0.9900498337491681}",20,0,-54.12887449966943,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
2,False,"{'a': 0.7, 'e': 0.9801986733067553}",20,0,-92.36216509369154,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 2}",0
3,False,"{'a': 0.7, 'e': 0.9704455335485082}",25,0,-141.90843861499093,"{0: 13, 1: 4, 2: 6, 3: 0, 4: 2}",0
4,False,"{'a': 0.7, 'e': 0.9607894391523232}",30,0,-75.40036254698578,"{0: 23, 1: 2, 2: 3, 3: 1, 4: 1}",0
5,False,"{'a': 0.7, 'e': 0.951229424500714}",35,0,-175.89663923511318,"{0: 20, 1: 1, 2: 11, 3: 2, 4: 1}",0
6,False,"{'a': 0.7, 'e': 0.9417645335842487}",25,0,-144.7143642149213,"{0: 14, 1: 2, 2: 7, 3: 0, 4: 2}",0
7,False,"{'a': 0.7, 'e': 0.9323938199059483}",25,0,-181.06232485571604,"{0: 15, 1: 2, 2: 3, 3: 2, 4: 3}",1
8,False,"{'a': 0.7, 'e': 0.9231163463866358}",20,0,-69.73356061357542,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
9,False,"{'a': 0.7, 'e': 0.9139311852712282}",30,15,-89.25250229722309,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 2}",1
10,False,"{'a': 0.7, 'e': 0.9048374180359595}",25,0,-203.50022828655418,"{0: 13, 1: 2, 2: 5, 3: 2, 4: 3}",0
11,False,"{'a': 0.7, 'e': 0.8958341352965282}",25,0,-53.216724957326164,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 0}",0
12,False,"{'a': 0.7, 'e': 0.8869204367171575}",20,0,-101.84754761923897,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
13,False,"{'a': 0.7, 'e': 0.8780954309205613}",30,0,-218.68279006278274,"{0: 17, 1: 1, 2: 7, 3: 2, 4: 3}",0
14,False,"{'a': 0.7, 'e': 0.8693582353988059}",20,0,-30.520313137389977,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
15,False,"{'a': 0.7, 'e': 0.8607079764250578}",20,0,-128.7803865061976,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 3}",0
16,False,"{'a': 0.7, 'e': 0.8521437889662113}",20,0,-56.12529932363564,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 0}",0
17,False,"{'a': 0.7, 'e': 0.8436648165963837}",25,0,-60.30799469348496,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
18,False,"{'a': 0.7, 'e': 0.835270211411272}",20,4,-58.3040122841978,"{0: 12, 1: 0, 2: 2, 3: 1, 4: 1}",1
19,False,"{'a': 0.7, 'e': 0.8269591339433623}",25,0,-90.75024079850213,"{0: 15, 1: 2, 2: 6, 3: 2, 4: 0}",0
20,False,"{'a': 0.7, 'e': 0.8187307530779818}",20,0,-25.62743117110707,"{0: 15, 1: 3, 2: 1, 3: 1, 4: 0}",0
21,False,"{'a': 0.7, 'e': 0.8105842459701871}",30,0,-154.12020493748452,"{0: 19, 1: 2, 2: 5, 3: 2, 4: 2}",0
22,False,"{'a': 0.7, 'e': 0.8025187979624785}",25,0,-76.72638683339923,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
23,False,"{'a': 0.7, 'e': 0.794533602503334}",30,0,-74.04121683014644,"{0: 24, 1: 3, 2: 1, 3: 0, 4: 2}",0
24,False,"{'a': 0.7, 'e': 0.7866278610665535}",20,0,-124.7985344043717,"{0: 12, 1: 0, 2: 4, 3: 3, 4: 1}",0
25,False,"{'a': 0.7, 'e': 0.7788007830714049}",25,0,-114.47674647075614,"{0: 15, 1: 1, 2: 8, 3: 0, 4: 1}",0
26,False,"{'a': 0.7, 'e': 0.7710515858035663}",25,12,-14.111411545703344,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 0}",1
27,False,"{'a': 0.7, 'e': 0.7633794943368531}",30,8,-58.333237798268534,"{0: 16, 1: 3, 2: 1, 3: 1, 4: 1}",1
28,False,"{'a': 0.7, 'e': 0.7557837414557255}",25,0,-111.2569822647847,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
29,False,"{'a': 0.7, 'e': 0.7482635675785653}",20,0,-36.9543948796085,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",1
30,False,"{'a': 0.7, 'e': 0.7408182206817179}",20,0,-45.62172730347465,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
31,False,"{'a': 0.7, 'e': 0.7334469562242892}",25,0,-210.06213872620637,"{0: 13, 1: 2, 2: 5, 3: 2, 4: 3}",0
32,False,"{'a': 0.7, 'e': 0.7261490370736909}",25,0,-47.697042480467736,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
33,False,"{'a': 0.7, 'e': 0.7189237334319262}",25,11,-24.52485476294714,"{0: 10, 1: 0, 2: 4, 3: 0, 4: 0}",1
34,False,"{'a': 0.7, 'e': 0.7117703227626098}",25,0,-77.56227134626836,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
35,False,"{'a': 0.7, 'e': 0.7046880897187134}",25,0,-114.542355724299,"{0: 16, 1: 4, 2: 3, 3: 0, 4: 2}",0
36,False,"{'a': 0.7, 'e': 0.697676326071031}",30,0,-143.49927802884352,"{0: 21, 1: 3, 2: 2, 3: 1, 4: 3}",0
37,False,"{'a': 0.7, 'e': 0.6907343306373547}",20,0,-4.642591569899705,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
